iter,chain,Lamb,GL2,mc,w,T_pc
80000,1,0.6077152982623815,1.753360301811877,0.004725950652931388,3.719247382694985e-37,0.20415435801001877
80001,1,0.6699922663587867,1.726743183866582,0.00407798256340952,3.7224427017272582e-37,0.20413826865619283
80002,1,0.6035869694103991,1.7533189831212925,0.004764574884188095,3.762267662696076e-37,0.20276749753630596
80003,1,0.6023337728944659,1.7400468342482207,0.004713380825471507,3.794860496906486e-37,0.20234650183173464
80004,1,0.6072226010207205,1.739409507550188,0.004664236181734169,3.801965409070211e-37,0.20398884253039828
80005,1,0.6052756896099865,1.738704529014792,0.004679056095176938,3.873679920633507e-37,0.20333480197835482
80006,1,0.6735734213395514,1.7329397184783986,0.0040850023020839975,3.873535711481991e-37,0.20522940181439459
80007,1,0.6316605122399284,1.7322305130886892,0.004410997454558849,3.88004258589068e-37,0.20232875782685206
80008,1,0.608193037452838,1.7470772328479696,0.00469238917361863,3.8829202805159276e-37,0.20431484851931275
80009,1,0.6044464771823471,1.740848385649569,0.0046973616964055675,3.891452663083813e-37,0.20305623842844472
80010,1,0.6355062372473277,1.7323025810102908,0.004379083405770919,3.908538869074486e-37,0.20356059161828466
80011,1,0.6363702113350822,1.7390794479134755,0.0044064067705455396,3.919829181071787e-37,0.20383733331826853
80012,1,0.6069436056677298,1.7493905543936796,0.0047145805790467805,3.931279345809876e-37,0.20389511752900297
80013,1,0.6377682977135395,1.7348375141376495,0.004373631228496091,3.947847968556533e-37,0.2042851578613681
80014,1,0.6069188986837784,1.738029127725031,0.004660200586460346,3.982568094456594e-37,0.20388681752658178
80015,1,0.6080227156255573,1.7512941998017433,0.004713579836503034,4.02314897603619e-37,0.20425763103046063
80016,1,0.6060643641340544,1.7474973311497402,0.004714202383788977,4.044227786377981e-37,0.2035997473262839
80017,1,0.6391927453028553,1.7382421024847905,0.004379095201200281,4.055641790107416e-37,0.20474142622982083
80018,1,0.607624606503446,1.7418447156928636,0.004672404454418409,4.0636861588852725e-37,0.20412389124725136
80019,1,0.6075237276081038,1.7429556913298831,0.004678655480539726,4.06320295180007e-37,0.2040900022433474
80020,1,0.6641634434410418,1.7248749542631048,0.0041120265084610245,4.065171922723349e-37,0.20236229917344245
80021,1,0.6023284373860676,1.746743266995872,0.004744994495618192,4.0966902123336284e-37,0.20234470943438207
80022,1,0.6312418481487132,1.7366217914675592,0.004436970614992904,4.136311246174125e-37,0.20219465448513468
80023,1,0.6089496726322196,1.7549358501843326,0.0047221613879472645,4.137134649756488e-37,0.20456903064988624
80024,1,0.6083609893383973,1.746444272118028,0.004687752943045791,4.176069438303672e-37,0.20437126985586787
80025,1,0.6725538313484144,1.7268982100617294,0.004060061498887225,4.2123275849321754e-37,0.20491874548897
80026,1,0.6355343401952482,1.7323949126897082,0.004379327143134468,4.303380645349544e-37,0.20356959334379043
80027,1,0.6371345577312408,1.7304182053554067,0.004356010737890157,4.314587043643811e-37,0.20408216302328808
80028,1,0.6071843243681339,1.7484395948967484,0.004708237760056942,4.345696298004303e-37,0.20397598396741995
80029,1,0.6367966032498779,1.7339487742436162,0.004377184199051861,4.348017524166251e-37,0.20397391197847647
80030,1,0.6367520172763385,1.7351762406902251,0.004383503256130581,4.362738016272085e-37,0.20395963053382715
80031,1,0.6047782660621901,1.7500754213502279,0.004737793349937364,4.388802193124598e-37,0.20316769875526697
